filename,angle,speed,left,right
/Users/alexbautistaramos/Downloads/images/image_0.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_25.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_50.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_75.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_100.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_125.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_150.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_175.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_200.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_225.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_250.png,0,5,0,0
/Users/alexbautistaramos/Downloads/images/image_275.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_300.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_325.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_350.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_375.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_400.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_425.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_450.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_475.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_500.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_525.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_550.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_575.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_600.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_625.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_650.png,-0.05,5,1,0
/Users/alexbautistaramos/Downloads/images/image_675.png,-0.05,5,1,0
